,vmId,starttime,endtime,core,memory,ssd,nic
2614,621,-114.05909722205251,7.553087708540261,0.07692307692307693,0.027777777777777776,0.034722222222222224,0.08
2615,621,-114.05909722205251,7.553087708540261,0.07692307692307693,0.041666666666666664,0.034722222222222224,0.08
2616,621,-114.05909722205251,7.553087708540261,0.08333333333333333,0.08333333333333333,0.05591277606933184,0.1
2617,622,-111.90582175925374,,0.019230769230769232,0.014222222222222223,0.0170148586036108,0.05
2618,622,-111.90582175925374,,0.038461538461538464,0.013888888888888888,0.018055555555555554,0.04
2619,622,-111.90582175925374,,0.038461538461538464,0.020833333333333332,0.018055555555555554,0.04
2620,622,-111.90582175925374,,0.041666666666666664,0.041666666666666664,0.02907464355605256,0.05
2621,623,-111.89347222214565,,0.019230769230769232,0.014222222222222223,0.0170148586036108,0.05
2622,623,-111.89347222214565,,0.038461538461538464,0.013888888888888888,0.018055555555555554,0.04
2623,623,-111.89347222214565,,0.038461538461538464,0.020833333333333332,0.018055555555555554,0.04
2624,623,-111.89347222214565,,0.041666666666666664,0.041666666666666664,0.02907464355605256,0.05
2625,624,-111.89027777779847,,0.019230769230769232,0.014222222222222223,0.0170148586036108,0.05
2626,624,-111.89027777779847,,0.038461538461538464,0.013888888888888888,0.018055555555555554,0.04
2627,624,-111.89027777779847,,0.038461538461538464,0.020833333333333332,0.018055555555555554,0.04
2628,624,-111.89027777779847,,0.041666666666666664,0.041666666666666664,0.02907464355605256,0.05
2629,625,-111.846388889011,,0.009615384615384616,0.0071111111111111115,0.009161846940405815,0.025
2630,625,-111.846388889011,,0.019230769230769232,0.006944444444444444,0.009722222222222222,0.02
2631,625,-111.846388889011,,0.019230769230769232,0.010416666666666666,0.009722222222222222,0.02
2632,625,-111.846388889011,,0.020833333333333332,0.020833333333333332,0.015655577299412915,0.025
2633,626,-111.21822916669771,61.96036136569455,0.038461538461538464,0.028444444444444446,0.03272088193002077,0.1
2634,626,-111.21822916669771,61.96036136569455,0.07692307692307693,0.027777777777777776,0.034722222222222224,0.08
2635,626,-111.21822916669771,61.96036136569455,0.07692307692307693,0.041666666666666664,0.034722222222222224,0.08
2636,626,-111.21822916669771,61.96036136569455,0.08333333333333333,0.08333333333333333,0.05591277606933184,0.1
2637,627,-111.21822916669771,61.960361377336085,0.038461538461538464,0.028444444444444446,0.03272088193002077,0.1
